budget,log_budget,runtime,genero_principal,estudio,diretor,ator_principal,mes_estreia,e_sequencia,e_alta_temporada,densidade_investimento,target_sucesso
237000000.0,19.283570703318816,162.0,Action,Ingenious Film Partners,James Cameron,Sam Worthington,12,0,1,1462962.962962963,1
300000000.0,19.519293035953808,169.0,Adventure,Walt Disney Pictures,Gore Verbinski,Johnny Depp,5,0,0,1775147.9289940828,1
245000000.0,19.316768772590635,148.0,Action,Columbia Pictures,Sam Mendes,Daniel Craig,10,1,0,1655405.4054054054,1
250000000.0,19.33697147982652,165.0,Action,Legendary Pictures,Christopher Nolan,Christian Bale,7,0,1,1515151.5151515151,1
260000000.0,19.376192192825954,132.0,Action,Walt Disney Pictures,Andrew Stanton,Taylor Kitsch,3,0,0,1969696.9696969697,0
258000000.0,19.36847014676186,139.0,Fantasy,Columbia Pictures,Sam Raimi,Tobey Maguire,5,1,0,1856115.107913669,1
260000000.0,19.376192192825954,100.0,Animation,Walt Disney Pictures,Byron Howard,Zachary Levi,11,0,0,2600000.0,1
280000000.0,19.450300164704952,141.0,Action,Marvel Studios,Joss Whedon,Robert Downey Jr.,4,1,0,1985815.6028368794,1
250000000.0,19.33697147982652,153.0,Adventure,Warner Bros.,David Yates,Daniel Radcliffe,7,0,1,1633986.9281045753,1
250000000.0,19.33697147982652,151.0,Action,DC Comics,Zack Snyder,Ben Affleck,3,0,0,1655629.1390728478,1
270000000.0,19.413932520666354,154.0,Adventure,DC Comics,Bryan Singer,Brandon Routh,6,1,1,1753246.7532467532,0
200000000.0,19.11382792951231,106.0,Adventure,Eon Productions,Marc Forster,Daniel Craig,10,0,0,1886792.4528301887,1
200000000.0,19.11382792951231,151.0,Adventure,Walt Disney Pictures,Gore Verbinski,Johnny Depp,6,0,1,1324503.311258278,1
255000000.0,19.35677410704427,149.0,Action,Walt Disney Pictures,Gore Verbinski,Johnny Depp,7,0,1,1711409.3959731543,0
225000000.0,19.23161096461314,143.0,Action,Legendary Pictures,Zack Snyder,Henry Cavill,6,0,1,1573426.5734265735,1
225000000.0,19.23161096461314,150.0,Adventure,Walt Disney,Andrew Adamson,Ben Barnes,5,0,0,1500000.0,0
220000000.0,19.20913810886209,143.0,Science Fiction,Paramount Pictures,Joss Whedon,Robert Downey Jr.,4,0,0,1538461.5384615385,1
380000000.0,19.755681813316283,136.0,Adventure,Walt Disney Pictures,Rob Marshall,Johnny Depp,5,0,0,2794117.6470588236,1
225000000.0,19.23161096461314,106.0,Action,Amblin Entertainment,Barry Sonnenfeld,Will Smith,5,1,0,2122641.5094339624,1
250000000.0,19.33697147982652,144.0,Action,WingNut Films,Peter Jackson,Martin Freeman,12,0,1,1736111.111111111,1
215000000.0,19.186148590743098,136.0,Action,Columbia Pictures,Marc Webb,Andrew Garfield,6,0,1,1580882.3529411764,1
200000000.0,19.11382792951231,140.0,Action,Imagine Entertainment,Ridley Scott,Russell Crowe,5,0,0,1428571.4285714286,0
250000000.0,19.33697147982652,161.0,Adventure,WingNut Films,Peter Jackson,Martin Freeman,12,0,1,1552795.0310559007,1
180000000.0,19.00846741441004,113.0,Adventure,New Line Cinema,Chris Weitz,Dakota Blue Richards,12,0,1,1592920.353982301,1
207000000.0,19.14822935606056,187.0,Adventure,WingNut Films,Peter Jackson,Naomi Watts,12,0,1,1106951.871657754,1
200000000.0,19.11382792951231,194.0,Drama,Paramount Pictures,James Cameron,Kate Winslet,11,0,0,1030927.8350515463,1
250000000.0,19.33697147982652,147.0,Adventure,Studio Babelsberg,Anthony Russo,Chris Evans,4,1,0,1700680.2721088436,1
209000000.0,19.157844814713773,131.0,Thriller,Universal Pictures,Peter Berg,Taylor Kitsch,4,0,0,1595419.8473282442,0
150000000.0,18.826145858727198,124.0,Action,Universal Studios,Colin Trevorrow,Chris Pratt,6,1,1,1209677.4193548388,1
200000000.0,19.11382792951231,143.0,Action,Columbia Pictures,Sam Mendes,Daniel Craig,10,0,0,1398601.3986013986,1
